id,username,email,password,role,points,rank,gender,age,height_cm,weight_kg,bmi,country,occupation,createdAt
1,Lê Thị Nhung,lenhung1@outlook.com,user123,user,316,iron,Nữ,28,167,63.2,22.7,Việt Nam,Doanh nhân,2025-08-22T20:41:06
2,Đặng Văn Thiện,dangthien2@hotmail.com,user123,user,534,bronze,Nam,21,179,71.0,22.2,Việt Nam,Luật sư,2025-09-23T20:41:06
3,Huỳnh Kim Dung,huynhdung3@hotmail.com,user123,user,1781,gold,Nữ,22,152,43.1,18.7,Việt Nam,Kiến trúc sư,2025-06-20T20:41:06
4,Dương Mỹ Hoa,duonghoa4@outlook.com,user123,user,12889,diamond,Nữ,39,153,51.8,22.1,Hàn Quốc,Nhà báo,2025-11-01T20:41:06
5,Lý Mỹ Hà,lyha5@hotmail.com,user123,user,2418,gold,Nữ,28,166,52.5,19.1,Pháp,Bác sĩ,2026-01-01T20:41:06
6,Phạm Đức Sơn,phamson6@gmail.com,user123,user,807,bronze,Nam,25,171,63.5,21.7,Thái Lan,Kỹ sư phần mềm,2026-05-07T20:41:06
7,Đặng Thu Nga,dangnga7@gmail.com,user123,user,364,iron,Nữ,39,155,42.4,17.6,Việt Nam,Nhà báo,2026-04-08T20:41:06
8,Hồ Bích Linh,holinh8@hotmail.com,user123,user,1386,bronze,Nữ,41,161,47.3,18.2,Úc,Thiết kế đồ họa,2025-09-22T20:41:06
9,Phạm Phương Thu,phamthu9@gmail.com,user123,user,15241,master,Nữ,28,155,54.8,22.8,Việt Nam,Nhà báo,2025-11-10T20:41:06
10,Phan Công Nam,phannam10@hotmail.com,user123,user,4470,platinum,Nam,21,166,54.4,19.7,Hàn Quốc,Freelancer,2025-08-03T20:41:06
11,Trần Thanh Tâm,trantam11@hotmail.com,user123,user,25559,master,Nữ,34,160,50.0,19.5,Nhật Bản,Doanh nhân,2025-06-16T20:41:06
12,Nguyễn Văn Lâm,nguyễnlam12@hotmail.com,user123,user,5352,platinum,Nam,31,168,53.5,19.0,Nhật Bản,Thiết kế đồ họa,2025-06-29T20:41:06
13,Đỗ Mỹ Hà,dỗha13@yahoo.com,user123,user,640,bronze,Nữ,28,160,47.8,18.7,Trung Quốc,Bác sĩ,2026-04-19T20:41:06
14,Bùi Thị Uyên,bùiuyen14@hotmail.com,user123,user,1067,bronze,Nữ,38,152,49.5,21.4,Việt Nam,Nhà báo,2026-03-23T20:41:06
15,Đặng Đức Khoa,dangkhoa15@yahoo.com,user123,user,1793,gold,Nam,20,179,66.5,20.8,Đức,Kiến trúc sư,2025-10-28T20:41:06
16,Vũ Bích Hoa,vũhoa16@gmail.com,user123,user,696,bronze,Nữ,28,163,49.3,18.6,Việt Nam,Quản lý dự án,2025-07-20T20:41:06
17,Ngô Quốc Khoa,ngokhoa17@yahoo.com,user123,user,710,bronze,Nam,34,168,71.2,25.2,Úc,Kỹ sư phần mềm,2025-08-20T20:41:06
18,Đặng Thu Hiền,danghien18@gmail.com,user123,user,7159,platinum,Nữ,26,166,56.7,20.6,Úc,Sinh viên,2025-07-18T20:41:06
19,Nguyễn Ngọc Phương,nguyễnphuong19@outlook.com,user123,user,255,iron,Nữ,40,165,61.8,22.7,Việt Nam,Kiến trúc sư,2025-10-20T20:41:06
20,Huỳnh Quốc Thiện,huynhthien20@outlook.com,user123,user,1429,bronze,Nam,34,182,76.8,23.2,Singapore,Marketing,2025-06-13T20:41:06
21,Bùi Mỹ Trinh,bùitrinh21@gmail.com,user123,user,1166,bronze,Nữ,18,162,48.8,18.6,Việt Nam,Luật sư,2026-01-05T20:41:06
22,Hoàng Hữu Khải,hoangkhai22@outlook.com,user123,user,2046,gold,Nam,32,169,57.7,20.2,Thái Lan,Y tá,2025-10-21T20:41:06
23,Lý Mỹ Mai,lymai23@gmail.com,user123,user,1180,bronze,Nữ,43,169,52.2,18.3,Singapore,Luật sư,2026-04-13T20:41:06
24,Võ Phương Trang,võtrang24@gmail.com,user123,user,1279,bronze,Nữ,38,170,64.3,22.2,Nhật Bản,Giáo viên,2026-01-27T20:41:06
25,Trần Thanh Nam,trannam25@gmail.com,user123,user,297,iron,Nam,45,162,62.1,23.7,Mỹ,Thiết kế đồ họa,2025-11-24T20:41:06
26,Nguyễn Ngọc Linh,nguyễnlinh26@yahoo.com,user123,user,169,iron,Nữ,29,163,57.8,21.8,Việt Nam,Giáo viên,2025-07-04T20:41:06
27,Dương Phương My,duongmy27@outlook.com,user123,user,445,iron,Nữ,30,168,53.1,18.8,Trung Quốc,Kế toán,2026-04-07T20:41:06
28,Ngô Hữu Kiên,ngokien28@gmail.com,user123,user,6910,platinum,Nam,37,173,67.5,22.6,Trung Quốc,Lập trình viên,2026-04-15T20:41:06
29,Đỗ Quốc Bảo,dỗbao29@yahoo.com,user123,user,372,iron,Nam,43,166,57.2,20.8,Việt Nam,Marketing,2025-08-29T20:41:06
30,Lý Quốc Lâm,lylam30@outlook.com,user123,user,1257,bronze,Nam,27,179,67.8,21.2,Trung Quốc,Kỹ sư phần mềm,2025-08-19T20:41:06
31,Phạm Công Anh,phamanh31@gmail.com,user123,user,5114,platinum,Nam,26,167,51.5,18.5,Việt Nam,Nhà báo,2026-01-08T20:41:06
32,Ngô Hoàng Xuân,ngoxuan32@hotmail.com,user123,user,96,iron,Nam,41,164,53.1,19.7,Đức,Giáo viên,2025-05-30T20:41:06
33,Võ Phương Hương,võhuong33@gmail.com,user123,user,430,iron,Nữ,31,159,49.0,19.4,Thái Lan,Giáo viên,2025-10-14T20:41:06
34,Đặng Thanh Nga,dangnga34@yahoo.com,user123,user,1959,gold,Nữ,33,159,47.1,18.6,Úc,Giáo viên,2025-09-12T20:41:06
35,Phạm Kim Dung,phamdung35@outlook.com,user123,user,6157,platinum,Nữ,29,161,53.5,20.6,Việt Nam,Freelancer,2026-04-14T20:41:06
36,Đặng Thanh Quang,dangquang36@gmail.com,user123,user,1244,bronze,Nam,20,167,52.0,18.6,Việt Nam,Giáo viên,2025-11-05T20:41:06
37,Vũ Đức Hùng,vũhùng37@gmail.com,user123,user,2692,gold,Nam,39,182,74.6,22.5,Canada,Lập trình viên,2026-03-25T20:41:06
38,Trần Mỹ Trinh,trantrinh38@gmail.com,user123,user,325,iron,Nữ,36,160,52.5,20.5,Nhật Bản,Kế toán,2025-10-29T20:41:06
39,Hoàng Hữu Kiên,hoangkien39@hotmail.com,user123,user,7836,platinum,Nam,35,182,78.0,23.5,Việt Nam,Y tá,2025-07-23T20:41:06
40,Huỳnh Quốc Nam,huynhnam40@yahoo.com,user123,user,1265,bronze,Nam,18,164,53.3,19.8,Việt Nam,Quản lý dự án,2026-05-13T20:41:06
41,Đặng Đức Hải,danghai41@outlook.com,user123,user,1057,bronze,Nam,23,163,57.6,21.7,Mỹ,Kế toán,2025-12-15T20:41:06
42,Bùi Quốc Quang,bùiquang42@gmail.com,user123,user,430,iron,Nam,28,173,58.9,19.7,Canada,Kỹ sư phần mềm,2026-01-14T20:41:06
43,Huỳnh Văn Quang,huynhquang43@hotmail.com,user123,user,338,iron,Nam,35,162,51.4,19.6,Mỹ,Kế toán,2025-12-21T20:41:06
44,Đỗ Thanh Nhân,dỗnhan44@outlook.com,user123,user,1492,bronze,Nam,33,168,62.1,22.0,Việt Nam,Marketing,2026-03-01T20:41:06
45,Hồ Đức Phong,hophong45@hotmail.com,user123,user,143,iron,Nam,28,179,74.8,23.3,Pháp,Doanh nhân,2026-03-18T20:41:06
46,Trần Phương Thu,tranthu46@gmail.com,user123,user,862,bronze,Nữ,37,165,51.9,19.1,Đức,Nhân viên văn phòng,2025-09-01T20:41:06
47,Trần Văn Phong,tranphong47@gmail.com,user123,user,1121,bronze,Nam,29,173,70.4,23.5,Việt Nam,Quản lý dự án,2025-08-04T20:41:06
48,Ngô Phương Trang,ngotrang48@yahoo.com,user123,user,1251,bronze,Nữ,39,158,55.2,22.1,Mỹ,Giáo viên,2025-09-18T20:41:06
49,Đỗ Minh Vũ,dỗvũ49@gmail.com,user123,user,1294,bronze,Nam,45,170,60.5,20.9,Đức,Kế toán,2026-01-05T20:41:06
50,Lê Quốc Phúc,lephúc50@yahoo.com,user123,user,227,iron,Nam,41,181,77.5,23.7,Hàn Quốc,Thiết kế đồ họa,2025-09-10T20:41:06
51,Huỳnh Bích Tuyết,huynhtuyet51@gmail.com,user123,user,4748,platinum,Nữ,28,159,50.4,19.9,Việt Nam,Quản lý dự án,2025-07-17T20:41:06
52,Dương Thanh Nghĩa,duongnghĩa52@outlook.com,user123,user,2753,gold,Nam,23,181,70.9,21.6,Việt Nam,Thiết kế đồ họa,2025-06-01T20:41:06
53,Bùi Thị Linh,bùilinh53@outlook.com,user123,user,4437,platinum,Nữ,27,165,54.0,19.8,Việt Nam,Nhà báo,2025-05-27T20:41:06
54,Huỳnh Thanh Ngân,huynhngan54@yahoo.com,user123,user,65,iron,Nữ,41,159,46.7,18.5,Singapore,Sinh viên,2025-09-27T20:41:06
55,Hoàng Minh Thiện,hoangthien55@gmail.com,user123,user,607,bronze,Nam,28,165,57.1,21.0,Việt Nam,Doanh nhân,2025-09-13T20:41:06
56,Bùi Mỹ Tâm,bùitam56@hotmail.com,user123,user,536,bronze,Nữ,45,169,59.2,20.7,Canada,Quản lý dự án,2026-04-05T20:41:06
57,Hoàng Quốc Khải,hoangkhai57@gmail.com,user123,user,1389,bronze,Nam,25,181,68.2,20.8,Pháp,Bác sĩ,2026-04-18T20:41:06
58,Lý Văn Vũ,lyvũ58@hotmail.com,user123,user,1367,bronze,Nam,22,176,62.1,20.0,Việt Nam,Marketing,2025-11-05T20:41:06
59,Đặng Minh Vũ,dangvũ59@yahoo.com,user123,user,600,bronze,Nam,42,179,75.4,23.5,Hàn Quốc,Kế toán,2025-06-18T20:41:06
60,Bùi Mỹ Linh,bùilinh60@yahoo.com,user123,user,3728,gold,Nữ,26,163,57.4,21.6,Thái Lan,Sinh viên,2026-03-30T20:41:06
61,Đỗ Kim Xuân,dỗxuan61@yahoo.com,user123,user,1727,gold,Nữ,30,157,52.1,21.1,Hàn Quốc,Kiến trúc sư,2026-03-18T20:41:06
62,Hoàng Mỹ Dung,hoangdung62@yahoo.com,user123,user,716,bronze,Nữ,32,170,58.6,20.3,Úc,Kiến trúc sư,2026-05-16T20:41:06
63,Phạm Thị Linh,phamlinh63@yahoo.com,user123,user,377,iron,Nữ,27,163,59.5,22.4,Việt Nam,Kế toán,2025-06-27T20:41:06
64,Phan Thanh Anh,phananh64@outlook.com,user123,user,3776,gold,Nữ,26,156,46.3,19.0,Mỹ,Kỹ sư phần mềm,2025-08-23T20:41:06
65,Nguyễn Ngọc Lan,nguyễnlan65@gmail.com,user123,user,1010,bronze,Nữ,30,163,51.0,19.2,Trung Quốc,Doanh nhân,2025-11-27T20:41:06
66,Phan Công Xuân,phanxuan66@yahoo.com,user123,user,25294,master,Nam,39,176,58.9,19.0,Mỹ,Bác sĩ,2025-10-27T20:41:06
67,Bùi Thanh Hiếu,bùihieu67@yahoo.com,user123,user,3309,gold,Nam,42,170,56.7,19.6,Việt Nam,Kế toán,2025-10-05T20:41:06
68,Phan Đức Hiếu,phanhieu68@gmail.com,user123,user,636,bronze,Nam,38,174,71.1,23.5,Việt Nam,Luật sư,2026-05-22T20:41:06
69,Huỳnh Kim Hiền,huynhhien69@gmail.com,user123,user,3311,gold,Nữ,20,160,58.3,22.8,Việt Nam,Nhà báo,2026-01-16T20:41:06
70,Bùi Mỹ My,bùimy70@yahoo.com,user123,user,3293,gold,Nữ,25,161,60.4,23.3,Việt Nam,Marketing,2025-12-02T20:41:06
71,Đặng Kim Lan,danglan71@gmail.com,user123,user,1408,bronze,Nữ,35,160,52.7,20.6,Canada,Marketing,2026-03-11T20:41:06
72,Võ Thanh Hương,võhuong72@yahoo.com,user123,user,376,iron,Nữ,19,155,42.3,17.6,Việt Nam,Kế toán,2025-08-27T20:41:06
73,Vũ Bích Vân,vũvan73@outlook.com,user123,user,767,bronze,Nữ,44,166,60.7,22.0,Việt Nam,Sinh viên,2025-07-29T20:41:06
74,Phạm Thị Anh,phamanh74@hotmail.com,user123,user,72,iron,Nữ,35,167,57.8,20.7,Canada,Freelancer,2025-12-18T20:41:06
75,Lý Đức Giang,lygiang75@outlook.com,user123,user,688,bronze,Nam,30,172,65.3,22.1,Đức,Freelancer,2026-03-20T20:41:06
76,Đỗ Minh Phúc,dỗphúc76@outlook.com,user123,user,1403,bronze,Nam,33,173,67.1,22.4,Việt Nam,Y tá,2025-11-11T20:41:06
77,Lý Minh Phong,lyphong77@outlook.com,user123,user,11087,diamond,Nam,19,178,67.4,21.3,Singapore,Quản lý dự án,2026-02-09T20:41:06
78,Trần Văn Quang,tranquang78@gmail.com,user123,user,2220,gold,Nam,19,171,67.4,23.0,Việt Nam,Thiết kế đồ họa,2025-12-09T20:41:06
79,Bùi Đức Trung,bùitrung79@yahoo.com,user123,user,7924,platinum,Nam,35,181,71.3,21.8,Canada,Bác sĩ,2025-08-31T20:41:06
80,Hồ Hoàng Khoa,hokhoa80@gmail.com,user123,user,1052,bronze,Nam,28,170,58.0,20.1,Singapore,Nhân viên văn phòng,2026-02-20T20:41:06
81,Ngô Thị Tuyết,ngotuyet81@hotmail.com,user123,user,586,bronze,Nữ,33,163,53.4,20.1,Úc,Kế toán,2025-06-24T20:41:06
82,Phan Ngọc Nga,phannga82@hotmail.com,user123,user,1352,bronze,Nữ,21,163,61.8,23.3,Trung Quốc,Y tá,2026-04-30T20:41:06
83,Huỳnh Thị Tâm,huynhtam83@hotmail.com,user123,user,1464,bronze,Nữ,43,168,55.6,19.7,Pháp,Bác sĩ,2026-03-27T20:41:06
84,Đặng Thanh Sơn,dangson84@gmail.com,user123,user,164,iron,Nam,25,177,75.5,24.1,Việt Nam,Thiết kế đồ họa,2026-03-28T20:41:06
85,Hồ Thị Linh,holinh85@yahoo.com,user123,user,256,iron,Nữ,33,164,55.5,20.6,Đức,Kiến trúc sư,2025-11-03T20:41:06
86,Võ Thanh Nga,võnga86@hotmail.com,user123,user,13232,diamond,Nữ,34,170,58.9,20.4,Singapore,Nhân viên văn phòng,2025-11-05T20:41:06
87,Lê Thanh Quỳnh,lequynh87@outlook.com,user123,user,65,iron,Nữ,29,156,45.1,18.5,Úc,Marketing,2025-08-07T20:41:06
88,Phạm Đức Nam,phamnam88@outlook.com,user123,user,649,bronze,Nam,27,168,70.3,24.9,Nhật Bản,Thiết kế đồ họa,2026-04-29T20:41:06
89,Ngô Hoàng Quang,ngoquang89@outlook.com,user123,user,646,bronze,Nam,40,171,70.4,24.1,Nhật Bản,Giáo viên,2026-02-27T20:41:06
90,Phan Minh Khoa,phankhoa90@hotmail.com,user123,user,7857,platinum,Nam,38,162,53.6,20.4,Việt Nam,Luật sư,2026-04-04T20:41:06
91,Ngô Văn Phúc,ngophúc91@yahoo.com,user123,user,2731,gold,Nam,35,170,68.3,23.6,Úc,Nhân viên văn phòng,2026-01-22T20:41:06
92,Nguyễn Ngọc Uyên,nguyễnuyen92@outlook.com,user123,user,226,iron,Nữ,42,155,44.9,18.7,Úc,Freelancer,2025-06-01T20:41:06
93,Lý Công Xuân,lyxuan93@gmail.com,user123,user,174,iron,Nam,23,169,54.8,19.2,Mỹ,Lập trình viên,2026-05-13T20:41:06
94,Bùi Thu Quỳnh,bùiquynh94@hotmail.com,user123,user,2698,gold,Nữ,41,152,41.0,17.7,Trung Quốc,Bác sĩ,2025-08-13T20:41:06
95,Bùi Đức Liêm,bùiliem95@yahoo.com,user123,user,225,iron,Nam,30,164,63.2,23.5,Thái Lan,Freelancer,2026-03-14T20:41:06
96,Đặng Kim Anh,danganh96@outlook.com,user123,user,5009,platinum,Nữ,40,154,53.5,22.6,Pháp,Freelancer,2026-02-21T20:41:06
97,Huỳnh Văn Liêm,huynhliem97@gmail.com,user123,user,2310,gold,Nam,28,164,53.5,19.9,Pháp,Lập trình viên,2026-05-05T20:41:06
98,Đỗ Bích Yến,dỗyen98@hotmail.com,user123,user,773,bronze,Nữ,34,165,59.1,21.7,Đức,Freelancer,2026-04-01T20:41:06
99,Đỗ Công Nam,dỗnam99@yahoo.com,user123,user,21423,master,Nam,38,170,62.4,21.6,Hàn Quốc,Sinh viên,2026-01-30T20:41:06
100,Lý Thanh Phúc,lyphúc100@outlook.com,user123,user,1680,gold,Nam,35,182,75.9,22.9,Nhật Bản,Thiết kế đồ họa,2026-02-15T20:41:06
101,Lý Minh Nghĩa,lynghĩa101@hotmail.com,user123,user,44,iron,Nam,37,179,63.7,19.9,Trung Quốc,Nhà báo,2025-08-06T20:41:06
102,Dương Mỹ Giang,duonggiang102@yahoo.com,user123,user,2370,gold,Nữ,34,152,41.2,17.8,Úc,Y tá,2026-03-18T20:41:06
103,Nguyễn Kim Quỳnh,nguyễnquynh103@gmail.com,user123,user,3526,gold,Nữ,19,164,51.8,19.3,Việt Nam,Y tá,2025-06-24T20:41:06
104,Đỗ Công Khoa,dỗkhoa104@gmail.com,user123,user,1200,bronze,Nam,24,171,72.2,24.7,Pháp,Nhà báo,2026-03-07T20:41:06
105,Lê Kim Chi,lechi105@gmail.com,user123,user,700,bronze,Nữ,26,170,58.5,20.2,Pháp,Quản lý dự án,2026-05-18T20:41:06
106,Huỳnh Văn Quân,huynhquan106@outlook.com,user123,user,638,bronze,Nam,23,178,74.1,23.4,Việt Nam,Lập trình viên,2025-06-01T20:41:06
107,Ngô Kim Yến,ngoyen107@hotmail.com,user123,user,488,iron,Nữ,44,156,45.8,18.8,Trung Quốc,Thiết kế đồ họa,2026-02-14T20:41:06
108,Bùi Ngọc Giang,bùigiang108@hotmail.com,user123,user,3303,gold,Nữ,41,156,52.8,21.7,Việt Nam,Nhân viên văn phòng,2025-06-29T20:41:06
109,Phạm Bích Trang,phamtrang109@yahoo.com,user123,user,5356,platinum,Nữ,27,168,51.6,18.3,Việt Nam,Marketing,2025-08-04T20:41:06
110,Huỳnh Công Hiếu,huynhhieu110@hotmail.com,user123,user,882,bronze,Nam,24,169,65.3,22.9,Việt Nam,Freelancer,2026-01-04T20:41:06
111,Dương Thanh Trang,duongtrang111@yahoo.com,user123,user,1371,bronze,Nữ,40,163,52.0,19.6,Mỹ,Y tá,2025-09-15T20:41:06
112,Võ Kim Yến,võyen112@hotmail.com,user123,user,8167,diamond,Nữ,20,155,42.3,17.6,Thái Lan,Lập trình viên,2026-03-07T20:41:06
113,Hoàng Ngọc Uyên,hoanguyen113@yahoo.com,user123,user,2471,gold,Nữ,45,158,54.0,21.6,Trung Quốc,Lập trình viên,2025-06-14T20:41:06
114,Hồ Công Nam,honam114@gmail.com,user123,user,240,iron,Nam,25,175,74.3,24.3,Trung Quốc,Kiến trúc sư,2025-07-16T20:41:06
115,Phạm Bích Loan,phamloan115@yahoo.com,user123,user,6404,platinum,Nữ,21,154,47.3,19.9,Việt Nam,Kỹ sư phần mềm,2026-03-01T20:41:06
116,Dương Hữu Đức,duongduc116@yahoo.com,user123,user,1478,bronze,Nam,20,168,66.3,23.5,Đức,Lập trình viên,2026-04-29T20:41:06
117,Nguyễn Văn Hải,nguyễnhai117@yahoo.com,user123,user,186,iron,Nam,18,171,70.3,24.0,Việt Nam,Kế toán,2026-04-30T20:41:06
118,Lê Quốc Quang,lequang118@gmail.com,user123,user,2590,gold,Nam,36,180,64.4,19.9,Pháp,Bác sĩ,2025-07-31T20:41:06
119,Lê Thanh Dung,ledung119@hotmail.com,user123,user,2956,gold,Nữ,34,155,53.9,22.4,Hàn Quốc,Bác sĩ,2026-04-03T20:41:06
120,Hồ Quốc Anh,hoanh120@outlook.com,user123,user,1161,bronze,Nam,36,181,66.5,20.3,Úc,Quản lý dự án,2026-02-04T20:41:06
121,Nguyễn Mỹ Tuyết,nguyễntuyet121@hotmail.com,user123,user,1657,gold,Nữ,26,153,42.8,18.3,Thái Lan,Lập trình viên,2026-03-13T20:41:06
122,Hoàng Bích Yến,hoangyen122@yahoo.com,user123,user,2430,gold,Nữ,26,152,44.6,19.3,Việt Nam,Lập trình viên,2025-06-07T20:41:06
123,Nguyễn Minh Tùng,nguyễntùng123@outlook.com,user123,user,207,iron,Nam,23,171,69.8,23.9,Pháp,Luật sư,2025-08-23T20:41:06
124,Phạm Hữu Long,phamlong124@gmail.com,user123,user,122,iron,Nam,24,168,66.3,23.5,Nhật Bản,Y tá,2025-12-04T20:41:06
125,Bùi Hoàng Việt,bùiviet125@hotmail.com,user123,user,239,iron,Nam,31,167,61.0,21.9,Mỹ,Kế toán,2025-12-04T20:41:06
126,Lý Hoàng Hải,lyhai126@hotmail.com,user123,user,15,iron,Nam,33,180,64.2,19.8,Việt Nam,Y tá,2026-04-05T20:41:06
127,Nguyễn Hữu Nhân,nguyễnnhan127@outlook.com,user123,user,1096,bronze,Nam,22,163,53.7,20.2,Việt Nam,Kế toán,2025-08-23T20:41:06
128,Hồ Ngọc Tâm,hotam128@gmail.com,user123,user,1035,bronze,Nữ,38,165,60.3,22.1,Thái Lan,Lập trình viên,2025-11-18T20:41:06
129,Trần Phương Tâm,trantam129@yahoo.com,user123,user,1,iron,Nữ,21,161,57.8,22.3,Pháp,Kiến trúc sư,2025-07-03T20:41:06
130,Đỗ Thanh Hùng,dỗhùng130@outlook.com,user123,user,762,bronze,Nam,25,170,58.9,20.4,Việt Nam,Quản lý dự án,2025-12-24T20:41:06
131,Nguyễn Phương Chi,nguyễnchi131@hotmail.com,user123,user,2150,gold,Nữ,19,169,58.9,20.6,Pháp,Marketing,2025-09-21T20:41:06
132,Ngô Công Sơn,ngoson132@gmail.com,user123,user,1105,bronze,Nam,28,173,72.0,24.1,Việt Nam,Kế toán,2026-05-14T20:41:06
